Year,Korea,Japan,USA
1955,,,18.640034490941492
1956,,,18.665419520075815
1957,,,18.655009555636738
1958,,,18.62551151120421
1959,,,18.65611017098652
1960,,,18.670620076110698
1961,,,18.664503720886266
1962,,,18.688697464685244
1963,,,18.71057277624303
1964,,,18.734587496852146
1965,,,18.76454537905617
1966,,,18.78463589761677
1967,,,18.792926633680462
1968,,,18.807878685341183
1969,,,18.8326143334535
1970,,18.553956989242074,18.826405458359897
1971,,18.55763737136935,18.82827791759266
1972,,18.557095693477724,18.86067074941592
1973,,18.56694834810985,18.896030959759678
1974,,18.53321555359846,18.899635025083267
1975,,18.518739207762163,18.8773010094276
1976,,18.535403457150824,18.911678493570676
1977,,18.54928581341078,18.94942276449383
1978,,18.558758943540912,18.987955725237274
1979,,18.573321309101622,19.015373189522602
1980,,18.581255544856234,19.010320102668032
1981,,18.582328751477675,19.019077080050803
1982,,18.591509679507865,19.00538553826613
1983,17.468006550182235,18.603786461128855,19.02891699022943
1984,17.457334294466346,18.615842843320113,19.07874332866058
1985,17.49416556046138,18.615758180812094,19.098416437273382
1986,17.507238356092188,18.625628996164465,19.116094491407782
1987,17.589811826382203,18.634885102027027,19.147155807071325
1988,17.626227339575237,18.649737945995113,19.168301672192158
1989,17.64281360883349,18.658512690673888,19.194569211507098
1990,17.659298798755554,18.659125394104706,19.1988495348536
1991,17.6825461555711,18.661645549173578,19.184288535875247
1992,17.684699370758736,18.655521072866705,19.190290804549765
1993,17.700277287022487,18.626606161104924,19.208383275868947
1994,17.725987288204887,18.623441490099758,19.237446799816226
1995,17.756010973373073,18.61659305759657,19.25224351879357
1996,17.773454320118464,18.62536333259816,19.267157410109007
1997,17.773252032332756,18.621851757416408,19.291033122117337
1998,17.685575665978675,18.6029269324062,19.305091742346562
1999,17.709133281016406,18.577412894344057,19.318743340614887
2000,17.755633706657548,18.58099289370686,19.340102351914965
2001,17.77227298717958,18.569054036514107,19.328883682824355
2002,17.788480576378767,18.550123428415223,19.322841196797253
2003,17.773880113510312,18.548439142755868,19.326409159236277
2004,17.786201246938305,18.543710243572153,19.33847001725225
2005,17.78035948060138,18.54132159660141,19.35388074964485
2006,17.791709716582655,18.55149231621649,19.373846717433732
2007,17.79082676233809,18.55809972634783,19.384442013481284
2008,17.776224723804,18.54736931904882,19.374719663037745
2009,17.77037353358786,18.499774047237995,19.322159427051695
2010,17.769473356801857,18.508208300373468,19.322552949872776
2011,17.760622329295217,18.50456448779258,19.331708110187503
2012,17.793755936654946,18.51216716020921,19.352372021102685
2013,17.773258385970557,18.513286809296112,19.36144612905572
2014,17.81500585086649,18.517421512975787,19.378942421313756
2015,17.821211913286245,18.516422732968216,19.396635456421954
2016,17.81386543196849,18.524127390751012,19.411161467816523
2017,17.82108748828353,18.532310724151465,19.423640417258454
2018,17.79387477320995,18.536306788308053,19.441569668189764
2019,17.785555397977376,18.524708820947932,19.450104440910142
2020,17.734805176216494,18.49048470641608,19.380618576517712
