DATE,RKNANPJPA666NRUG
1950-01-01,972361.8125
1951-01-01,1025208.188
1952-01-01,1064209
1953-01-01,1099584.875
1954-01-01,1143398.75
1955-01-01,1199048
1956-01-01,1267903
1957-01-01,1357632.375
1958-01-01,1443924.375
1959-01-01,1551703.75
1960-01-01,1707237.5
1961-01-01,1906432
1962-01-01,2115536.75
1963-01-01,2346088.25
1964-01-01,2616576.5
1965-01-01,2886455.5
1966-01-01,3195100
1967-01-01,3578192
1968-01-01,4051511.75
1969-01-01,4607640
1970-01-01,5270958.5
1971-01-01,5929284
1972-01-01,6636370
1973-01-01,7417648
1974-01-01,8060057
1975-01-01,8662330
1976-01-01,9265912
1977-01-01,9870659
1978-01-01,10524471
1979-01-01,11204698
1980-01-01,11838824
1981-01-01,12456722
1982-01-01,13036599
1983-01-01,13589490
1984-01-01,14149388
1985-01-01,14728835
1986-01-01,15344432
1987-01-01,16036289
1988-01-01,16849184
1989-01-01,17704652
1990-01-01,18591444
1991-01-01,19460336
1992-01-01,20222834
1993-01-01,20855448
1994-01-01,21421044
1995-01-01,22009798
1996-01-01,22656004
1997-01-01,23215934
1998-01-01,23665848
1999-01-01,24064154
2000-01-01,24436208
2001-01-01,24751466
2002-01-01,24968428
2003-01-01,25157068
2004-01-01,25328238
2005-01-01,25517398
2006-01-01,25687838
2007-01-01,25812342
2008-01-01,25871006
2009-01-01,25807276
2010-01-01,25730574
2011-01-01,25674480
2012-01-01,25655914
2013-01-01,25688360
2014-01-01,25749982
2015-01-01,25821588
2016-01-01,25880770
2017-01-01,25966410
2018-01-01,26049552
2019-01-01,26138818
