DATE,RKNANPKRA666NRUG
1953-01-01,200739.4219
1954-01-01,198661.0938
1955-01-01,197240.2344
1956-01-01,195586.7031
1957-01-01,196965.25
1958-01-01,197325.2188
1959-01-01,195871.75
1960-01-01,194873.2813
1961-01-01,195530.7188
1962-01-01,195990.4219
1963-01-01,204282.9063
1964-01-01,208317.5313
1965-01-01,212549.1406
1966-01-01,225487.6563
1967-01-01,239632.9375
1968-01-01,260256.875
1969-01-01,280355
1970-01-01,298706.0625
1971-01-01,317799.6875
1972-01-01,336639.375
1973-01-01,363335.7813
1974-01-01,394652.7188
1975-01-01,428986.125
1976-01-01,475819.25
1977-01-01,540756.1875
1978-01-01,631268.5625
1979-01-01,724673.1875
1980-01-01,796452.875
1981-01-01,861023.8125
1982-01-01,934477.1875
1983-01-01,1023469.625
1984-01-01,1123696.125
1985-01-01,1227438.5
1986-01-01,1347880.5
1987-01-01,1494464.125
1988-01-01,1661152
1989-01-01,1855717.625
1990-01-01,2108021
1991-01-01,2394781.25
1992-01-01,2672333
1993-01-01,2966203.25
1994-01-01,3303437.25
1995-01-01,3681087.25
1996-01-01,4078959.25
1997-01-01,4445789
1998-01-01,4668163
1999-01-01,4920904
2000-01-01,5225204.5
2001-01-01,5516550
2002-01-01,5829945
2003-01-01,6155792.5
2004-01-01,6481699
2005-01-01,6799244.5
2006-01-01,7123341
2007-01-01,7459716.5
2008-01-01,7769014.5
2009-01-01,8062310.5
2010-01-01,8376644
2011-01-01,8676902
2012-01-01,8953498
2013-01-01,9230478
2014-01-01,9511454
2015-01-01,9813657
2016-01-01,10148951
2017-01-01,10544942
2018-01-01,10894959
2019-01-01,11198647
