Country Name,Japan,"Korea, Rep.",United States
Country Code,JPN,KOR,USA
Indicator Name,GDP (current US$),GDP (current US$),GDP (current US$)
Indicator Code,NY.GDP.MKTP.CD,NY.GDP.MKTP.CD,NY.GDP.MKTP.CD
1960,44307342950.0,3958190759.0,543300000000.0
1961,53508617739.0,2417558289.0,563300000000.0
1962,60723018684.0,2814318517.0,605100000000.0
1963,69498131797.0,3988784572.0,638600000000.0
1964,81749006382.0,3458939358.0,685800000000.0
1965,90950278258.0,3120833333.0,743700000000.0
1966,105628000000.0,3928908381.0,815000000000.0
1967,123782000000.0,4855907142.0,861700000000.0
1968,146601000000.0,6119284294.0,942500000000.0
1969,172204000000.0,7678581344.0,1019900000000.0
1970,212609000000.0,9005023184.0,1073300000000.0
1971,240152000000.0,9903499928.0,1164850000000.0
1972,318031000000.0,10862327878.0,1279110000000.0
1973,432083000000.0,13876531432.0,1425380000000.0
1974,479626000000.0,19544094741.0,1545240000000.0
1975,521542000000.0,21784297521.0,1684900000000.0
1976,586162000000.0,29902479339.0,1873410000000.0
1977,721412000000.0,38446487603.0,2081830000000.0
1978,1013610000000.0,51972107438.0,2351600000000.0
1979,1055010000000.0,66946900826.0,2627330000000.0
1980,1105390000000.0,65398646758.0,2857310000000.0
1981,1218990000000.0,72933350954.0,3207040000000.0
1982,1134520000000.0,78358866335.0,3343790000000.0
1983,1243320000000.0,87760360941.0,3634040000000.0
1984,1318380000000.0,97510235986.0,4037610000000.0
1985,1398890000000.0,101296000000.0,4338980000000.0
1986,2078950000000.0,116837000000.0,4579630000000.0
1987,2532810000000.0,147948000000.0,4855220000000.0
1988,3071680000000.0,199591000000.0,5236440000000.0
1989,3054910000000.0,246927000000.0,5641580000000.0
1990,3132820000000.0,283368000000.0,5963140000000.0
1991,3584420000000.0,330649000000.0,6158130000000.0
1992,3908810000000.0,355525000000.0,6520330000000.0
1993,4454140000000.0,392666000000.0,6858560000000.0
1994,4998800000000.0,463617000000.0,7287240000000.0
1995,5545560000000.0,566583000000.0,7639750000000.0
1996,4923390000000.0,610170000000.0,8073120000000.0
1997,4492450000000.0,569755000000.0,8577550000000.0
1998,4098360000000.0,383331000000.0,9062820000000.0
1999,4635980000000.0,497513000000.0,9630660000000.0
2000,4968360000000.0,576178000000.0,10252300000000.0
2001,4374710000000.0,547658000000.0,10581800000000.0
2002,4182850000000.0,627246000000.0,10936400000000.0
2003,4519560000000.0,702717000000.0,11458200000000.0
2004,4893120000000.0,793175000000.0,12213700000000.0
2005,4831470000000.0,934901000000.0,13036600000000.0
2006,4601660000000.0,1053220000000.0,13814600000000.0
2007,4579750000000.0,1172610000000.0,14451900000000.0
2008,5106680000000.0,1047340000000.0,14712800000000.0
2009,5289490000000.0,943942000000.0,14448900000000.0
2010,5759070000000.0,1144070000000.0,14992100000000.0
2011,6233150000000.0,1253220000000.0,15542600000000.0
2012,6272360000000.0,1278430000000.0,16197000000000.0
2013,5212330000000.0,1370800000000.0,16784800000000.0
2014,4896990000000.0,1484320000000.0,17527200000000.0
2015,4444930000000.0,1465770000000.0,18238300000000.0
2016,5003680000000.0,1500110000000.0,18745100000000.0
2017,4930840000000.0,1623900000000.0,19543000000000.0
2018,5036890000000.0,1724850000000.0,20611900000000.0
2019,5148780000000.0,1651420000000.0,21433200000000.0
2020,5057760000000.0,1637900000000.0,20953000000000.0
