DATE,RKNANPUSA666NRUG
1950-01-01,10576814
1951-01-01,10912329
1952-01-01,11273329
1953-01-01,11682797
1954-01-01,12073595
1955-01-01,12512252
1956-01-01,12946795
1957-01-01,13370985
1958-01-01,13754814
1959-01-01,14239896
1960-01-01,14711919
1961-01-01,15205274
1962-01-01,15759578
1963-01-01,16361409
1964-01-01,17023690
1965-01-01,17752528
1966-01-01,18530992
1967-01-01,19263546
1968-01-01,20015188
1969-01-01,20760190
1970-01-01,21404620
1971-01-01,22058784
1972-01-01,22805318
1973-01-01,23631744
1974-01-01,24335552
1975-01-01,24870554
1976-01-01,25504852
1977-01-01,26279792
1978-01-01,27203124
1979-01-01,28174168
1980-01-01,28983298
1981-01-01,29770398
1982-01-01,30400942
1983-01-01,31125584
1984-01-01,32101154
1985-01-01,33160380
1986-01-01,34217176
1987-01-01,35245908
1988-01-01,36263700
1989-01-01,37283484
1990-01-01,38223836
1991-01-01,38987084
1992-01-01,39793464
1993-01-01,40663208
1994-01-01,41620812
1995-01-01,42632688
1996-01-01,43758388
1997-01-01,44977188
1998-01-01,46345160
1999-01-01,47827892
2000-01-01,49368260
2001-01-01,50734816
2002-01-01,51925832
2003-01-01,53184000
2004-01-01,54572836
2005-01-01,56084488
2006-01-01,57575292
2007-01-01,58915288
2008-01-01,59981812
2009-01-01,60510768
2010-01-01,61054676
2011-01-01,61672648
2012-01-01,62435632
2013-01-01,63232928
2014-01-01,64124212
2015-01-01,65057816
2016-01-01,65974060
2017-01-01,66942704
2018-01-01,68007352
2019-01-01,69059064
