lnY,lnK,lnL,trend,intercept,IMF,SPM
26.41700036290258,13.838709006066152,17.468006550182235,0.0,1.0,0.0,0.0
26.47908429723459,13.932133921460752,17.457334294466346,0.6931471805599453,1.0,0.0,0.0
26.4780932044233,14.02044003556268,17.49416556046138,1.0986122886681098,1.0,0.0,0.0
26.572348537014943,14.114043916673127,17.507238356092188,1.3862943611198906,1.0,0.0,0.0
26.7612492244508,14.217278255734172,17.589811826382203,1.6094379124341003,1.0,0.0,0.0
26.991848236021863,14.323021895546413,17.626227339575237,1.791759469228055,1.0,0.0,0.0
27.14578759558572,14.433782039050971,17.64281360883349,1.9459101490553132,1.0,0.0,0.0
27.187336248611626,14.561260150643106,17.659298798755554,2.0794415416798357,1.0,0.0,0.0
27.254176488799693,14.688802448538846,17.6825461555711,2.1972245773362196,1.0,0.0,0.0
27.251811632319125,14.798462431622031,17.684699370758736,2.302585092994046,1.0,0.0,0.0
27.290508250998226,14.902793325967371,17.700277287022487,2.3978952727983707,1.0,0.0,0.0
27.37817585515169,15.010474075266371,17.725987288204887,2.4849066497880004,1.0,0.0,0.0
27.51085248804272,15.118718714878405,17.756010973373073,2.5649493574615367,1.0,0.0,0.0
27.54468218374616,15.221352428056118,17.773454320118464,2.6390573296152584,1.0,0.0,0.0
27.4368987142501,15.30746791399053,17.773252032332756,2.70805020110221,1.0,1.0,0.0
26.996804657362347,15.356276190373633,17.685575665978675,2.772588722239781,1.0,1.0,0.0
27.26990210299926,15.409002811427792,17.709133281016406,2.833213344056216,1.0,1.0,0.0
27.40653125415241,15.469004493805228,17.755633706657548,2.8903717578961645,1.0,1.0,0.0
27.32157195047148,15.52326322285936,17.77227298717958,2.9444389791664403,1.0,1.0,0.0
27.42737925951947,15.578518124319912,17.788480576378767,2.995732273553991,1.0,1.0,0.0
27.50707654669519,15.632904066420249,17.773880113510312,3.044522437723423,1.0,1.0,0.0
27.59736658620605,15.684493225320336,17.786201246938305,3.091042453358316,1.0,1.0,0.0
27.75140318670912,15.73232206103277,17.78035948060138,3.1354942159291497,1.0,0.0,0.0
27.87280441325068,15.778887414901794,17.791709716582655,3.1780538303479458,1.0,0.0,0.0
27.95628033916147,15.825027968776858,17.79082676233809,3.2188758248682006,1.0,0.0,0.0
27.81543092883655,15.865653880322888,17.776224723804,3.258096538021482,1.0,0.0,1.0
27.67603617898912,15.902710735933976,17.77037353358786,3.295836866004329,1.0,0.0,1.0
27.84131183958049,15.940957914918837,17.769473356801857,3.332204510175204,1.0,0.0,0.0
27.919698824059928,15.976175110485732,17.760622329295217,3.367295829986474,1.0,0.0,0.0
27.92717496923545,16.007554851882592,17.793755936654946,3.4011973816621555,1.0,0.0,0.0
27.986802801639964,16.038021392787073,17.773258385970557,3.4339872044851463,1.0,0.0,0.0
28.057336954237,16.068007314527783,17.81500585086649,3.4657359027997265,1.0,0.0,0.0
28.01340181758934,16.09928554494989,17.821211913286245,3.4965075614664802,1.0,0.0,0.0
28.01689381420466,16.13288090835742,17.81386543196849,3.5263605246161616,1.0,0.0,0.0
28.074201661965667,16.171156871642808,17.82108748828353,3.5553480614894135,1.0,0.0,0.0
28.1296932237371,16.20381076315965,17.79387477320995,3.58351893845611,1.0,0.0,0.0
28.09461733191608,16.231303525396555,17.785555397977376,3.6109179126442243,1.0,0.0,0.0
